Bigg Reaction ID,Reaction Name,Unnamed: 2,Metabolite,BiGG Metabolite ID,Metabolite Name
EX_10fthf_e,10-Formyltetrahydrofolate exchange,0,10fthf_e,10fthf_e,10-Formyltetrahydrofolate
EX_10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5) exchange,0,10fthf5glu_e,10fthf5glu_e,10-formyltetrahydrofolate-[Glu](5)
EX_10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6) exchange,0,10fthf6glu_e,10fthf6glu_e,10-formyltetrahydrofolate-[Glu](6)
EX_10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7) exchange,0,10fthf7glu_e,10fthf7glu_e,10-formyltetrahydrofolate-[Glu](7)
EX_11_cis_retfa_e,Fatty acid 11-cis-retinol exchange,0,11_cis_retfa_e,11_cis_retfa_e,Fatty acid 11-cis-retinol
EX_13_cis_retnglc_e,13-cis-retinoyl glucuronide exchange,0,13_cis_retnglc_e,13_cis_retnglc_e,13-cis-retinoyl glucuronide
EX_1glyc_hs_e,1 acyl phosphoglycerol exchange,0,1glyc_hs_e,1glyc_hs_e,1 acyl phosphoglycerol
EX_2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2 exchange",0,2425dhvitd2_e,2425dhvitd2_e,"24R,25-Dihyoxyvitamin D2"
EX_2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3 exchange",0,2425dhvitd3_e,2425dhvitd3_e,"24R,25-Dihydroxyvitamin D3"
EX_24nph_e,"2,4 dihydroxy nitrophenol exchange",0,24nph_e,24nph_e,"2,4 dihydroxy nitrophenol"
EX_25hvitd2_e,25-Hydroxyvitamin D2 exchange,0,25hvitd2_e,25hvitd2_e,25-Hydroxyvitamin D2
EX_25hvitd3_e,25-Hydroxyvitamin D3 exchange,0,25hvitd3_e,25hvitd3_e,25-Hydroxyvitamin D3
EX_2hb_e,2 Hydroxybutyrate exchange,0,2hb_e,2hb_e,2 Hydroxybutyrate C4H7O3
