Cell Line,Tissue,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2,Medium Condition
DMS53,Lung,0.1160196,-0.153144208,-0.34860651,-1.41712763,-1.281176501,-0.719706709,-0.208079802,-0.033416103,-0.96782088,-1.150057978,-0.694684266,0.599286021,1.125165552,-0.611418105,-0.384637913,0.249617843,-0.088406829,-0.511181074,-0.279846941,-1.453154586,0.287488563,0.646869032,-0.145690493,-1.880791881,0.422464947,0.331515352,-0.051698539,-1.590647709,-0.687768495,0.838781042,-0.956909638,-1.419156743,0.39617762,1.261962889,0.492776032,-0.211348976,-0.554972949,-0.22291187,-0.310910451,-0.272654654,0.271469181,0.46964655,Waymouth
SW1116,Large Intestine,-0.058624326,0.219591976,0.110946033,-0.170281885,0.33462959,0.497303478,0.307907259,-0.466685703,0.062517765,-0.517698453,-0.565489483,-0.445957305,-0.89726354,-0.274196526,0.145466848,-0.015737106,-0.000636813,-0.260064032,,-0.588527902,-1.391134163,-1.308719213,-1.103263937,-0.207402408,-0.692251406,-0.680535533,-0.456650877,0.385298696,0.411447024,-0.056638971,0.222129535,0.456334235,-1.198708707,-1.394996649,-1.123119446,-1.501910595,-0.180229341,-0.075172842,,0.051017782,0.099032394,0.169760564,L15
NCIH1694,Lung,0.480908807,0.298440467,0.073776921,0.413953387,-0.479542743,0.133279535,0.053278956,-0.220467463,-0.42716008,0.215503732,0.906119304,0.923124492,0.938962968,0.071732251,0.419934885,0.512121872,0.308431961,0.464105925,,-0.499895183,-0.056093253,0.106693859,-0.9205467,-0.849407908,0.255745193,0.39502136,-0.361501972,-0.417355649,-0.415226491,0.469914454,0.755684769,0.096899924,0.055683063,-0.659294218,0.114287514,-1.289012183,0.280395911,0.117563553,,0.18598369,0.191759968,-0.437560648,DMEM-F12 wGln
P3HR1,Haematopoietic And Lymphoid Tissue,-0.079957187,-0.617656074,-0.566702235,0.079931995,0.373140403,0.159681542,0.060946025,-0.181111998,0.208328161,0.182228706,0.082201682,-0.204057715,-0.590027226,0.165935815,-0.026958983,-0.249538262,0.532824308,0.028630002,0.960154137,1.421107145,0.341170252,-0.169290191,0.248911259,1.126911773,-0.207276878,-0.774751233,-0.129343492,1.18467524,-0.33101205,-1.543765106,0.467751885,-0.740518469,1.098303246,0.381883832,0.258281724,0.751323417,0.031193779,-0.199315524,0.037929332,0.003978434,-0.225147213,-0.06144507,RPMI
HUT78,Haematopoietic And Lymphoid Tissue,-0.059965467,-0.063482668,-0.267979772,0.357421525,0.075651154,0.047829603,0.115242534,-0.498239051,-0.059567453,0.845077047,0.466630494,0.558869888,0.245954536,0.431598335,0.12695011,-0.331886928,0.437236084,0.140781573,,-0.00109451,0.13631594,0.381835228,0.104973102,-0.387625211,0.077846388,0.572835873,0.095180724,-0.219881913,0.098818102,0.096207796,0.943753918,0.391319708,-0.185237129,0.239420617,0.358072194,-0.176526852,-0.351188148,0.037021484,,0.045494934,-0.153683963,-0.106306037,EMEM
HOS,Bone,-0.241258805,-0.871103312,-0.382457339,-0.100697817,-0.212449205,-0.295410145,-0.313819995,-0.605896899,-0.588622668,-0.161428562,-0.100574882,-0.094737805,-0.250941193,-0.556886225,-0.487389509,-0.596367699,-0.355451252,-1.207914036,,-0.266918115,-0.678795482,-1.146236129,-1.059866617,-0.098534954,-0.953652666,-1.248081078,-0.323851201,0.580772947,-0.548917103,-0.932672239,0.652635497,0.166853408,-1.324244195,-1.765642023,-1.71714897,-1.974660198,-0.435360165,0.2312459,,-0.095360384,-0.532368252,-0.391364757,RPMI
HUNS1,Haematopoietic And Lymphoid Tissue,0.000764619,0.19307549,-0.001264666,0.172924,0.157646569,0.01914459,-0.242568279,-0.629404591,-0.512414994,0.645289373,0.428714529,-0.189191409,-0.615870325,-0.449465808,-0.250884056,0.239400502,0.301175842,0.745306798,,0.159420944,-0.060007046,-0.172347442,-0.27527166,0.205924595,-0.139358858,-0.137264841,0.014357531,0.459017098,-0.099897758,-0.230573515,0.092509532,-0.058189189,0.911651377,0.305551629,0.191608714,0.299686135,-0.105316635,-0.248224458,,0.15152941,0.014668422,-0.132116226,RPMI
AML193,Haematopoietic And Lymphoid Tissue,0.127253798,-0.101106619,0.197892882,-1.028948063,0.085119103,0.136274871,0.406177639,-0.14005479,-0.586289228,-0.012945301,-0.030925092,0.005416721,-0.157620746,-0.237153683,0.113158074,-0.352393521,-0.082695583,-0.523776341,1.548554752,1.529368635,1.375550821,0.839078211,0.806688714,1.470906424,0.507878022,0.200933877,0.044937753,0.899559389,-0.524810257,-1.256167732,-1.33834584,-1.925922181,0.783968754,0.73324068,0.531269448,0.441987066,0.869000915,0.087313629,0.140158428,-0.092945161,0.209983484,0.654700122,IMDM
RVH421,Skin,0.106098435,0.586015329,0.40797154,,0.331119194,0.215083832,0.284994109,-0.009726683,0.231658858,0.144449358,0.317468025,0.443739089,0.179135988,0.221206821,0.364669564,-0.066533121,-0.053303072,-0.309709871,3.302333669,-0.389392136,0.180105814,0.138069326,-0.309169087,-0.42985158,-0.065798895,0.541493453,0.438642658,-0.01309322,0.056809003,0.657643474,0.520708716,0.731014286,0.118950828,0.27240891,0.037343517,-0.168794209,-0.009649966,0.149910695,0.1793497,0.172654125,0.376767677,0.414125143,RPMI
NCIH1184,Lung,-0.230316079,-0.286837353,-0.530605223,0.187882723,-0.211250053,0.126076994,0.354721009,-0.279559422,-0.328033221,-0.07676735,0.625148538,0.303761198,0.326490429,-0.390268078,-0.1528503,-0.350307839,0.557162074,0.039845772,,-0.735931433,0.343027454,-0.342026212,-0.421292136,-0.825284767,0.492412311,0.178041759,-0.069453468,-0.252146145,0.296431382,0.370583348,-0.145857396,0.096912538,0.341511265,0.133471798,-0.618257078,-1.027827636,-0.383809868,-0.038307656,,-0.149660109,-0.391326605,-1.398210221,RPMI
HCC2157,Breast,-0.206078025,-0.552738412,-0.371802223,-0.014962529,0.339042777,0.285126781,-0.196569427,0.297008589,-0.487850055,-0.275697198,-0.533705835,-0.462720703,-0.037683606,-0.696987167,0.203270348,-0.559956607,-0.757669608,-0.659905666,0.64265808,-1.013152464,0.11489862,-0.730018877,-0.885535123,-1.119390268,0.51859176,0.981895764,0.060840256,-2.1559968,0.026777125,0.783154783,-2.959509087,-1.000264043,-0.964735745,-0.617442665,-1.303381035,-1.655696915,0.647096461,-0.150500923,0.169238349,0.102802528,0.343326636,0.929024858,RPMI
TC71,Bone,0.067038251,0.021498349,-0.161586627,-3.473744722,-0.916519029,-1.44786247,-0.146745085,-0.049005182,0.034623428,0.057239166,0.502783102,0.750550342,0.654791803,1.547162495,-0.231381301,0.586531479,0.544885987,1.075073845,-6.682473838,0.259487411,0.001765083,0.244445751,0.115529304,0.273966114,0.28804402,0.602810201,-0.449467404,0.076627955,-0.209369398,-0.07647516,-0.578512931,-0.517742978,-0.289603482,-0.093984017,0.584510974,-0.271376307,-0.932321701,-0.05319743,-10.0244384,-0.261478587,-0.843613063,-3.517417418,RPMI
NCIH2227,Lung,0.047333622,0.49801934,0.600296584,0.153607828,0.057897466,-0.259282483,0.263956533,1.097581557,0.204822443,-0.36854677,-0.742090191,-0.357930389,0.334479331,-0.201230673,0.119625477,0.335112563,-0.079369148,0.462054497,,0.719587874,0.900367042,0.60783944,0.589251373,0.709870865,0.262850272,0.765008469,0.135555631,0.019604711,-0.587304323,-0.014329022,-0.130413347,-0.857023232,0.082341336,0.879396956,1.105949252,1.021622663,0.789208124,0.073048936,,0.230717187,0.083038419,-0.372255802,DMEM-F12 wGln
SNU449,Liver,0.146282836,0.135028666,0.207874341,0.302431785,-0.554820629,-0.133560459,0.634939664,0.948814999,-0.382155477,-0.312414957,-0.301034002,0.496727042,0.716096907,-0.324323271,0.154912141,-0.106237363,0.343865448,0.08426633,,-0.050781749,-0.210176968,0.086779765,-0.157704596,-0.14766104,-0.275193521,0.099920456,0.087490373,0.41267764,-0.013285296,-0.143192679,1.053969186,0.591720114,-0.064235153,-0.292513211,0.226690368,-0.010980276,0.145131088,0.161485074,,0.048608839,0.534299558,1.063612955,RPMI
NCIH28,Pleura,-0.023125373,0.106824759,-0.19631227,0.299748018,-0.696086909,-0.247490693,-0.090535736,-0.035269927,-0.041009374,0.424266426,0.605369463,0.535059089,0.506354674,0.877185505,-0.236039707,0.388035709,0.413477417,1.057429281,,-0.179339634,0.405965551,0.543300031,0.418985693,-0.953197645,0.208590202,-0.377629192,0.284821371,-0.483500062,0.015491897,0.33427766,-0.304235636,0.507085762,0.52251504,1.077468359,0.708229967,0.868660818,-0.875700684,-0.05663974,,-0.111589802,-0.110250357,0.112367844,RPMI
OV56,Ovary,-0.122174538,-0.024343368,0.202083701,-1.029043767,0.221817037,0.005453978,0.207774491,0.242657898,0.978543253,-0.001189304,-0.145769794,-0.541663404,-0.206322891,0.543785067,-0.044861309,0.061176388,-0.200918264,0.174339433,-0.026273322,-0.088783464,-0.176206949,-0.595187476,-0.012958135,0.156267518,-0.006270505,0.649849379,0.249654689,0.124417181,-0.029014417,0.283450933,-0.352035159,-0.108625903,0.529532946,0.292049153,0.670822561,-0.131333238,0.364411485,-0.174332299,0.260027182,0.058612923,-0.058041618,0.131208676,DMEM-F12
JHOS4,Ovary,0.148802782,0.180520586,0.095899821,0.008534692,0.448940388,0.462632038,-0.048603357,0.063261362,0.092363828,0.0031358,-0.201044533,-0.562754038,-0.460190483,-0.11969863,0.021282551,-0.400238868,0.023354706,-0.482766405,-0.419390589,7.41E-05,0.71847851,0.441461266,-0.174941227,0.020531545,0.8770199,0.706635323,0.238557366,-0.346988386,0.403399195,0.304659776,-1.092168706,-0.56018517,0.191419282,0.112086788,0.025739157,-0.120145809,0.247086267,0.072729457,0.390911221,-0.050414469,-0.947436723,-2.860202891,DMEM-F12
KYSE450,Oesophagus,0.105869517,-1.081520175,-0.785516634,,-0.719088924,0.036815508,0.403204509,0.119202087,-0.635946938,-0.807484416,0.086952915,0.70874559,0.528425186,-0.644744941,0.038253716,-0.335211667,-0.219324911,-0.983659066,-1.062961897,-1.766804683,-1.505052606,-1.064951603,0.125395145,-1.183036061,-0.741318978,-0.525481833,0.610321128,-0.181681972,0.408492703,0.626135619,0.225614708,0.818417816,-1.866855543,-1.824134531,-1.565248755,-0.740639477,-1.133063731,0.121165496,-0.071349351,0.080833459,0.336347188,0.74391122,RPMI
RMUGS,Ovary,0.253318936,0.669642039,0.083979239,0.492799565,0.650416327,0.015822741,-0.507752814,0.381000754,1.089686883,0.714390735,0.469861524,-0.52306177,-0.24344427,1.161329006,0.083929078,0.745034012,0.218106731,0.400578517,,1.032597925,0.839821193,-0.177793915,0.516294591,0.55296931,0.30586808,-0.612192805,-0.504581127,-0.251365469,0.314262258,0.493330071,-0.763762418,-0.064656202,1.063137587,1.154115494,1.003447913,-1.200632505,0.713346208,0.136329363,0.095696271,0.051998938,-0.17029303,-0.43652464,RPMI
