,Metabolite Name,MW,g/L,mM,LB
0,(R)-Pantothenate,477.0,2.24,0.0046960167,-0.005
1,Aquacob(III)alamin,1355.0,0.68,0.00050184503,0.0
2,Bicarbonate,84.0,1200.0,14.285714,0.0
3,Biotin,244.0,0.0035,1.4344263e-05,-0.005
4,Calcium,111.0,116.6,1.0504504,-1000.0
5,Chloride,95.8,1492.304,25.237094066,-1000.0
6,Choline C5H14NO,140.0,8.98,0.06414285,-0.005
7,D-Glucose,180.0,3151.0,17.505556,-5.0
8,Fe2+ mitochondria,341.0,0.23349999999999999,0.00081188119,-1000.0
9,Folate,441.0,2.65,0.0060090707,-0.005
10,Glycine,75.0,18.75,0.25,-0.05
11,Hypoxanthine,159.0,2.39,0.015031448,0.0
12,L Cystine C6H12N2O4S2,313.0,31.29,0.09996805,0.0
13,L-Alanine,89.0,4.45,0.049999997,-0.05
14,L-Arginine,211.0,147.5,0.69905216,-0.05
15,L-Asparagine,150.0,7.5,0.05,-0.05
16,L-Aspartate,133.0,6.65,0.05,-0.05
17,L-Cysteine,176.0,17.56,0.09977272,-0.05
18,L-Glutamate,147.0,7.35,0.05,-0.05
19,L-Histidine,210.0,31.48,0.14990476,-0.05
20,L-Isoleucine,131.0,54.47,0.41580153,-0.05
21,L-Leucine,131.0,59.05,0.45076334,-0.05
22,L-Lysine,183.0,91.25,0.4986339,-0.05
23,L-Methionine,149.0,17.24,0.11570469,-0.05
24,L-Phenylalanine,165.0,35.48,0.2150303,-0.05
25,L-Proline,115.0,17.25,0.15,0.0
26,L-Serine,105.0,26.25,0.25,-0.05
27,L-Threonine,119.0,53.45,0.44915968,-0.05
28,L-Tryptophan,204.0,9.02,0.04421569,-0.05
29,L-Tyrosine,261.0,55.79,0.21375479,-0.05
30,L-Valine,117.0,25.85,0.22094017,-0.05
31,Linoleic acid (all cis C18:2) n-6,280.0,0.042,0.00014999999,0.0
32,Lipoate,206.0,0.105,0.0005097087,0.0
33,Myo-Inositol,180.0,12.6,0.07,-0.005
34,Nicotinamide,122.0,2.02,0.016557377,-0.005
35,Phosphate,140.0,66.75999999999999,0.47651970499999996,-1000.0
36,Potassium,75.0,311.8,4.1573334,-1000.0
37,Pyridoxine,206.0,2.0,0.009708738,0.0
38,Pyruvate,110.0,55.0,0.5,0.0
39,Riboflavin C17H20N4O6,376.0,0.219,0.0005824468,-0.005
40,Sodium,106.4,1676.804,27.270164682,-1000.0
41,Sulfate,234.0,12.422575000000002,0.10250129999999999,0.0
42,Thiamin,337.0,2.17,0.0064391694,-0.005
