,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
2-aminoadipate,0.01057970886037784,-0.0021257326882899857,-0.04119337857641152,-0.013647997245459712,0.05092332411548106,0.008835506676204644,-0.004897430326168107,-0.026113350109523734,0.11530413339057893,0.008429170491233692,-0.015076697579731763,-0.01574322193489893,-0.08817515795482431,0.07659925980098957,-0.014575980955547565,-0.008393018317853676,0.026148634593900353,0.004068771470790058,0.07283082763488581,0.06545159711348547,0.10641125511029843,0.10006255960026497,0.06310295455888207,0.016540998989601995,0.06109271722891609,0.048129734225293784,0.01652449377065407,-0.0536719203638974,-0.04388620265391038,0.007491999671582064,0.033471411015884966,-0.005939860516253553,0.005170698574555114,0.07212515998676679,0.10213331718427261,0.040593714970034285,-0.04733395131217922,-0.015090300065203994,0.03849637076363528,0.02600360396754287,0.021895033149677917,0.009091890241570585
3-phosphoglycerate,-0.0015811654692138484,-0.019890222409867268,-0.07145925601434414,-0.08401754247017691,-0.017794825550670888,-0.053067902200615,-0.06487460053389535,0.09079799567796779,0.03409062225278605,-0.03603496060038301,-0.07446555266026951,-0.0705387225342463,-0.012573215204769598,0.018480233241026333,-0.015484677762547276,0.052707486925805666,-0.07910746065343471,0.016749526870307348,-0.029572568274196687,0.08650965255056446,-0.000558755348120012,-0.04903735150833766,0.0430760427387467,0.08936014588373245,0.012633007352773222,-0.014806696022845229,0.07344619974282075,0.05885736039201961,0.025798454233691284,-0.04117848699777371,-0.041017167999127455,-0.06135105326737855,0.07890028558777247,0.09340419884407655,0.09014992928415728,0.026672519461363835,0.027274743138812903,-0.053513503316877764,-0.011798804802610667,-0.041461241066900315,-0.02851845115606883,-0.009319413243138144
Alpha-glycerophosphate,-0.0024531587526654044,-0.0454343729191863,0.08709684907076769,0.12492126689842678,-0.04679462881516987,-0.09067031513050919,-0.04087715834200786,-0.059713578611187645,0.0024683217376542266,0.09368973114677409,0.10596411649471821,0.12598699973359642,0.07230738688032809,0.06592977777128313,-0.05299337592410294,0.014427336304481765,0.11849870547447927,0.09310518557833602,-0.05973055099521251,0.02610722331808098,0.0009150049035814431,0.11072621438237547,0.031081878859057336,0.023000743142503225,-0.033702662098828724,-0.0009213068688767126,-0.05052892636805459,0.029055137642611577,-0.04723914621006559,-0.05214094712470441,0.06163643979608405,0.02549580700337225,0.0933949957288136,0.051769355163272336,0.05086130433357989,0.10843714444123768,-0.12637586177323318,-0.050834431561577964,0.08133455135136693,-0.069508567875402,-0.05464069338893814,-0.010630711491055548
4-pyridoxate,-0.03742499917633833,0.042511208349840277,0.057534184927169475,0.05047556570005352,-0.044777785214544064,-0.06486660145155031,0.0010366491205641905,-0.042039591277837136,-0.04788891947400402,0.013348839290885936,0.022194793219906698,0.06190972821785756,0.030272441294501306,0.002926147423294868,-0.028086723322626853,-0.034406154652293366,0.07573608509312459,-0.008330659851369904,0.015069169415733729,-0.010167308954998023,0.03312127702157471,0.028291355329974757,-0.0128612754354367,-0.0029870362991937247,0.0470558499794841,-0.020066623487140278,-0.05206086497384025,0.022173615268975662,0.001739785076439004,0.0013409387611745332,-0.005881289526394328,-0.01576037070691261,-0.017765572795886076,-0.020869991811713815,-0.0038741633963800086,0.007819291173866616,0.004126823307834269,-0.003100347914881825,0.010449979183631133,0.04961490887439416,0.011765141673079139,0.04242608670273421
Aconitate,-0.010916000303303973,0.06224217793261248,-0.017422368729849286,-0.047795476996276134,0.04519485132507352,0.04286471094241431,-0.03414224974015483,0.09369054599559862,0.07102024768957883,-0.041497072599009255,-0.0800589227026287,-0.08653625706047623,-0.08079213766428986,0.027514856503792238,-0.008396283350905987,0.06534570615182618,-0.044045523255865644,0.03931505837409937,-0.08781681969118763,0.020570791068451038,-0.015939638970786638,-0.040561232362266594,0.05880116728043846,0.030152620637961414,0.018072158203066527,0.03149645319007133,0.1023705943685129,0.002047888126120595,0.05359948484873669,0.043056788182877996,-0.03212245957594108,-0.0011353167162057851,0.009038522576369425,0.04871723468357181,0.06604453790580356,0.035412652199710584,-0.009439738929913276,0.005705272408247284,-0.041540741350614835,-0.04293262058198245,-0.030498233159289005,-0.0058614184991551506
Adenine,-0.012144024521523767,-0.05736417246870906,0.018703503783974347,0.05030851728461475,-0.020080723617385703,-0.04622319752446889,-0.0038225894953111267,-0.10639807980085456,-0.04945504608820275,0.05173026309298754,0.07873349359533417,0.08368540804869108,0.03756912443815015,0.0009039104909381849,-0.04941870656997447,-0.02273083750721269,0.06396700631321295,0.0027389820253597144,0.07019453931428932,-0.05177710565196878,0.00982575400651188,0.06030908097342107,-0.0018034268083410257,-0.05976297917118081,-0.03040097957596015,-0.04101151381160568,-0.04553765804128035,0.01873786985427602,-0.043542249025874495,-0.036723184468047836,0.07887936041235954,0.005947067873317767,0.041792920262894745,0.018842419592487506,0.008544067236608045,0.022730166604402875,-0.08754152265166468,-0.019569426747200577,-0.06071871899930513,-0.008097917868234656,-0.03523334098226005,-0.03386256794961398
Adipate,-0.003950092571497177,-0.028594612647727346,0.016446139387870342,0.08254910970527171,0.0008501395214663124,-0.008690381119424212,-0.0017544893025874344,-0.08206548622566037,-0.06538624745017023,0.05197755371190712,0.04218602824490902,0.03130669626553953,-0.039079229852621036,-0.039302871536819994,-0.009939416253699866,-0.03032386779980251,0.011030283829772204,-0.02697795086234252,0.06445532919429556,0.07999441583410692,0.08875687541447229,0.06955464864528411,-0.0014762087163344782,0.04941963999774093,0.046028417114416006,-0.02884242729504663,-0.07281737432163038,0.006410958801674757,-0.06332445362032439,-0.07225191103744853,-0.009794197219933624,-0.06973657277796491,0.09327271925579746,0.04128556605037954,0.0016828544678719963,0.026605824906180273,0.11254148590639093,-0.04050733269536596,0.013079839454991807,0.018268320275873804,-0.06150569291596647,-0.032602598143696565
Alpha-ketoglutarate,0.02669792020284879,0.07608770551726765,0.007481678373472877,0.010281799226386128,0.013978193242100357,0.022233120039563136,0.014381853817129623,0.02415719802017934,0.06945566049575234,-0.013339624664442603,-0.020946128017578596,0.010050023772444358,-0.03829661363170276,0.06266253107503797,0.0038147408477968627,0.07488446455193663,-0.013439261789358892,0.07644407894168352,-0.03382856762531423,0.022213124347507635,0.050689566888150114,0.03486186696339681,0.06980305568261,-0.005206949296954886,0.052913378387521685,0.06390866882038991,0.0810093049681624,0.011534501345237307,0.046400215693707315,0.032006160751452094,-0.012328798653842043,-0.013998646848859632,0.06206928585779851,0.10869755036657656,0.13866423641349485,0.08793105594540347,-0.047067645490176564,0.0037405580384595044,0.014590803496330426,-0.0391197104144652,0.008989280689361317,0.05829796540779538
AMP,0.02563513899894147,-0.06545834352627018,0.063393898856451,0.08518648034258625,-0.048031737125587844,-0.11676837388016677,-0.11174427783467111,-0.23410393190351952,-0.012665722870086884,0.19153727074696503,0.21270723838181446,0.18630515676329726,0.10869138875315049,0.0964249280395293,-0.1491601193668348,0.04907432726213703,0.20203301675009958,0.12532235137344602,-0.01702243563402899,-0.1139019510041124,-0.07141194693281858,0.03268381216038285,-0.06256702696218652,-0.11902137267490773,-0.07529543628295152,-0.040802334116850074,-0.12611080874293285,0.014610778315801255,-0.018915665204317977,-0.05366728836809077,0.0950406217360268,0.027248297487192107,0.05743134939308886,0.008144588346859303,-0.024944179691162204,0.01321760495086972,-0.23117370882955732,-0.08776020968570522,0.00019761172109035517,-0.021996406839646068,-0.07929254078755053,-0.07505825425569744
Citrate,0.00591521777417442,0.06592568194245597,-0.025813962442492885,-0.04898816009398227,0.015234713571833062,0.05656928696732477,-0.002611824928356469,0.05987149137528328,0.05275432438952396,-0.028327176071655243,-0.026966686528921598,-0.02265688473227077,-0.03812587016158355,0.03043206900893408,-0.0081386066233884,0.09226607573061346,-0.0027570479156210745,0.07915112099807878,-0.07756935082457268,0.007161485757323427,0.0018149618241623806,-0.02037123275155148,0.07186962808974516,0.02112742549866784,0.04853356836598952,0.04138541479766861,0.11714634190741582,0.01601456957084422,0.10248990419536705,0.0624333538384077,-0.028493619419539647,0.0008646375314417938,0.038747962037204466,0.07975012775467367,0.07680002826657654,0.06139401912656296,-0.0064279036175246065,0.03966952042452374,0.010624707459029771,-0.035872019002892115,-0.02162894970620966,0.013074835317099276
Isocitrate,-0.018909239642748477,0.027998348257597366,-0.017076585165920435,-0.025363454173817718,0.015230300776928132,0.009497484255889276,-0.029482197525517534,0.0703293245125557,0.04717995297612817,-0.029856129294420063,-0.0659946836678141,-0.05594144093564576,-0.06213483886208582,0.02330686155743351,-0.022735873550865832,0.08072058390579363,-0.0318686211397536,0.060820174171948606,-0.06833301783203305,0.04218021409121975,0.030127438245392074,0.010563684115530275,0.07838275266821683,0.026237787793161677,0.058355512609384215,0.07461817892904296,0.0845920003478017,-0.018763482284906343,0.05213261838590607,0.05403200043590119,-0.05597640852541185,-0.026781969163976654,0.031385542764867325,0.1088934531352186,0.1109288405761046,0.08392932986632876,-0.021025472808928865,0.0011558695071556284,0.004024915187193376,-0.05584159033502485,-0.03233534219285799,-0.019551417826114855
CMP,-0.001842407182830571,-0.07141298753995144,0.04822454758657308,0.08576946479683194,-0.016980870435438958,-0.09309050576170759,-0.12145758422919736,-0.2005790648452611,-0.0187362209076349,0.16110802994846163,0.16911710956707574,0.13640522483506773,0.08127408656408808,0.058509858885870646,-0.15595422513096543,0.034640083352734496,0.18497632294216013,0.11971982544419499,0.006923932718412987,-0.08407722675535968,-0.04192311068065743,0.06036215936824749,-0.037470240601412436,-0.07801236140066027,-0.06433319761049705,-0.010992773720674642,-0.11398813144248307,-0.004030858879989998,-0.061530645701174676,-0.08069189423165904,0.08256856302404011,0.008617675121820989,0.04591713593833689,0.019762558204927477,-0.0074222599894784354,0.03220563568766118,-0.20871664681740204,-0.08060476075945129,0.025299014224021383,-0.01407983653315095,-0.08061539764000497,-0.07516035544099176
Cystathionine,0.017385820158335747,0.017600504654994867,-0.03970237873404702,0.04498855331798747,-0.08162844087976319,-0.09902241815218354,0.02724011959409703,-0.058946512886537676,0.00326829712093261,0.05714880828924434,0.12460779832422754,0.15225398731468265,0.1340136784406326,0.05502921790257414,-0.02502381585591994,0.027760289296683865,0.15396210442460026,0.11249833714863543,-0.0017647464278023946,-0.034120279397905226,0.0694085797703641,0.10874417970044038,-0.010591170565472494,-0.10182423428688159,0.08918360223676917,0.11567383514370126,-0.024810937809981046,-0.0754947860533908,-0.010667844267527097,0.06302473654761946,-0.04927311429152663,-0.060401498558985675,0.04381201428113083,0.1087719163680385,0.08725608334992738,0.0738942003011092,-0.10530916607662714,-0.014288222187779538,0.0032648020616064654,-0.0002348845987457272,0.0002513683752015937,0.007385491079233834
Cytidine,-0.03162082416394213,-0.0026138175301470197,0.08679786544836743,0.05453989531705662,-0.05112726835533198,-0.0988042794240683,-0.0396532154261994,-0.16419655686925097,0.06407505343781586,0.11003353807528397,0.1439473548287898,0.12699886715602332,0.06173008661312666,0.1249815997396708,-0.11072316661181024,-0.02080215947403285,0.1579026969957665,0.09335248199594838,-0.045513071058310865,-0.08510006840067215,-0.004791423785504335,0.1014533499979447,-0.03051456752497652,-0.1273444119405312,-0.03635303942661717,0.02944936029665425,-0.1404713607584039,-0.05086009107726849,-0.09829749337674662,-0.008677283687618829,0.06448770968317752,0.030311172147650802,-0.00570887056714891,-0.006498251361334126,0.005073432490640373,0.030521402824135953,-0.1577866762617565,-0.06418446823763717,0.034325346177384114,-0.025710478486659305,-0.04183172530683848,-0.044449228449409614
dCMP,-0.04266682883456771,-0.07447341926926823,0.01682796766688308,0.07153584885659346,-0.0663952577073115,-0.12230781869898341,-0.07110464384026956,-0.15935372442119147,-0.04018908187419461,0.08858829355263621,0.10368791245625762,0.10855789724108461,0.07070429808302696,0.021431033323788064,-0.11484575367400565,0.00955236667126166,0.1473427299907899,0.08172727992505348,0.01591237952537915,-0.021653737989063178,0.03647533297238026,0.0968529768918206,-0.029165388281276204,-0.05165777523225563,-0.030864626428380813,0.0032956752821107567,-0.16504367313924034,-0.030720234326352177,-0.12388297919044365,-0.07805364320672942,0.004755844142097643,-0.06312586050634342,0.047896592800698315,0.012146432916959568,0.024305546696808313,0.01779825786181497,-0.09366500818416515,-0.06342077138264851,-0.03626562988450186,0.002435845270576443,-0.10999820246532876,-0.1460845020648019
DHAP/G3P,0.0029396860826741353,-0.01972990808069706,-0.046651531298822047,-0.030969494890895097,0.036997577115127564,-0.031020623730278488,-0.0674063953024224,0.0763696917215116,0.057712814555991684,0.010304833643898953,-0.03516725513467289,-0.06603608602181488,-0.047257466878090994,0.062158886586758104,0.02889628413985426,0.02711484439406801,-0.05660889521064809,0.010121215274124507,-0.06221085268147726,0.14724316689592062,0.06374537147081637,-0.02064926124234105,0.07590032624424943,0.12159400038416399,0.06304235539293368,0.03784939857154819,0.08451187186492042,0.07140817253150769,0.03318561915501324,-0.016043750360055075,-0.05964212093044532,-0.057221899654466855,0.08693995797963741,0.08461722676505856,0.11664039300704263,0.06510245653461144,0.005967382199923794,-0.012890307656524765,-0.06740477264326443,-0.03486297778576689,-0.004614496740960744,0.01936642007797231
Erythrose-4-phosphate,-0.07743582435346814,0.009554210464976592,-0.02883292823823127,-0.06738638569941072,-0.0354762263694039,-0.032922852677277264,-0.02624591921931332,0.017578100877138035,0.0007409523373088944,-0.06372972047459889,-0.056225375677781436,-0.04032459841151021,-0.017937618877159195,-0.007007135030547045,-0.026149409520934218,0.002517412741889349,-0.03808445400558786,0.009150306816575152,-0.012282481961543286,-0.010324882860967138,-0.04234330986106086,-0.04716449415563825,0.031963735586180826,0.009370605195097765,-0.028686740654338485,0.022084361444723026,0.029413112234268304,0.04023506070982572,0.04131050936239247,-0.011377230767798155,-0.030347381520325883,-0.046055244715817754,-0.03189116484234925,-0.006048072719974652,0.011469472175943901,0.04020534207628309,-0.02239984349811357,-0.051147736321620875,0.003384540041536331,-0.06765813656779436,-0.00010550611393612684,0.029617991167995565
F1P/F6P/G1P/G6P,-0.006405499344642938,0.09055174758482763,-0.0021760596609413574,-0.0668573420032783,-0.014440952357919062,0.017238869568927628,0.042523396766502256,0.08735760504151743,0.032359557088046886,-0.09555153763564081,-0.06760017607864911,-0.05152048755744661,-0.006695388537831615,0.011057910409372974,0.033629829307834216,0.034235160094930515,-0.06632423180389889,0.0205213944173202,-0.053607039297097835,-0.04953828160214193,-0.058072268432819665,-0.08174225606266732,0.01858904540333212,-0.009333461491893572,0.015798339833625427,0.05250844165133658,0.10357383681810893,0.03777676501624604,0.12552970384993825,0.06843185060955582,-0.0400894013739788,0.0024041941085325065,-0.04115974322792407,-0.0067603973297247,0.009015217035504518,0.018952205600010714,-0.019840697513756295,-0.005917663656446968,-0.003305441434234255,-0.08341692442920497,0.03019771208246978,0.07013416107122197
