,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
2-aminoadipate,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-phosphoglycerate,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,
Alpha-glycerophosphate,,,1,1,,-1,,,,1,1,1,1,,,,1,1,,,,1,,,,,-1,,,,,,,,,1,-1,,1,,-1,-1
4-pyridoxate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitate,,1,,,1,,,1,1,,,,,1,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,
Adenine,,,,,-1,-1,,-1,-1,,,1,,,-1,,,,,,,1,,,,,,,-1,,,,,,,,,,,,,-1
Adipate,,,,1,,,,-1,,,,,,,,,,,1,1,,,,,,,,,,-1,,,,,,,1,,,,,
Alpha-ketoglutarate,,1,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,1,,,,,,,1
AMP,,-1,,,,-1,-1,-1,,1,1,1,1,,-1,,1,,,-1,,1,,-1,,,-1,1,,,,,,,,,-1,,,,-1,-1
Citrate,,,,,,,,,1,,,,,1,,,,,-1,,,,,,,,1,,1,,,,,,,,,,,,,
Isocitrate,,,,,1,,,1,1,,,,,1,,1,,1,-1,,,,1,,,1,,,,,,,,,1,,,,,,,
CMP,,-1,,,,-1,-1,-1,,1,1,1,,,-1,,1,1,,,,1,,-1,,,-1,-1,-1,,,,,,,,-1,,,,-1,-1
Cystathionine,,,,,,-1,,,,1,1,1,1,,-1,,1,1,,,,1,,-1,,,,-1,,,-1,,,1,,,-1,,,,,
Cytidine,,,,,,-1,,-1,,1,1,1,,1,-1,,1,1,,,,1,,-1,,,-1,-1,-1,,,,,,,,-1,,,,,
dCMP,,-1,,,-1,-1,-1,-1,-1,,,,,,-1,,1,,,,,1,,,,,-1,,-1,-1,,,,,,,-1,,,,-1,-1
DHAP/G3P,,,,,,,,1,,,,,,,1,,,,,1,,,,1,1,1,,,,,,,1,1,1,,,,,,,
Erythrose-4-phosphate,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1P/F6P/G1P/G6P,,1,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,1,1,,,,,,,,,,-1,,1
hexoses (HILIC neg),1,1,,,,1,1,1,,-1,-1,,,,1,,-1,,,,,-1,,,,,1,,1,1,,,,,,,1,,,,1,1
Fumarate/Maleate/Alpha-ketoisovalerate,,,,,,,,-1,,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,-1,,,-1,-1
Glucuronate,,,,,1,1,,,,,,,-1,,1,,,-1,-1,,,,,1,1,1,,1,1,,,,,,,,,,,,,
Glutathione oxidized,1,,,,,,,,,,,,,1,,1,,,-1,,,,1,,,,1,,,,,,,,1,,,,,,,
Glutathione reduced,1,,,,,,-1,,,,1,,,1,,1,,1,-1,,,,,,,,,,,,,,1,1,1,,,,,,,
GMP,,,,,,-1,-1,-1,,1,1,1,,,-1,,1,1,,,,1,,-1,,,-1,-1,,,,,,,,,-1,,,,,-1
Guanosine,,,,,,-1,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hippurate,,1,,,1,1,,1,1,,,-1,,,1,,,,,,,-1,,1,,,1,1,1,1,,1,,,,,1,,,,,1
Hypoxanthine,,,,,,,,,-1,,,,1,,,,,,,,,,-1,,,,,,,,,,,,,,,,,,,
Inosine,,1,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,1,,,-1,,,,,,,,,
Kynurenine,-1,-1,,,,,,,,,-1,-1,,-1,,,,-1,1,,,,,,,,,-1,,,,,,,,,,,,,,
Lactate,,,,,,,,1,1,,,-1,,1,,,,,-1,,,-1,,,,,,,,,,,,,1,,,,,,,
Lactose,1,1,,,,1,1,1,1,,,,,,1,,,,,,,,1,,1,1,1,,1,1,,,,,,,1,1,,,1,1
Malate,,,,,,,,,,1,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,-1,-1
NAD,1,,1,,,,-1,,1,1,1,,,1,,,,,-1,,,,,,,,,,,,,,,,,,-1,,,,,
NADP,,,,,,,,,,,,,,,,,,,-1,,,,,,,,1,,,,,,,,,,,,,,,
Oxalate,,-1,,,-1,,,-1,-1,,,1,,-1,,,,,1,,1,1,,,,,-1,,-1,-1,,,,,,,,,,,,-1
Pantothenate,1,1,1,1,,,,,1,1,1,1,,1,,,1,1,,,,,,,,,,1,,,1,1,,,,,,,,,,1
PEP,,,,,,-1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Ribose-5-P/Ribulose5-P,1,1,,,,,,1,1,,,,,1,,1,,1,,1,,,1,,,,1,,,,,,1,1,1,1,,,,,,
Sorbitol,,1,,,1,1,1,1,1,-1,-1,-1,-1,,1,,-1,,,,,-1,,1,,,1,1,1,1,,1,,,,,,,,,,1
Succinate/Methylmalonate,1,1,,,,,,,,,,,,,,,,,,,,-1,,,,,1,,,,,,,,,,,,,-1,,
Sucrose,,1,,,,1,,1,1,,,,,,1,,,,,,,,,1,1,1,1,1,1,,,,,,,,1,1,,,,
Thymine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,-1,,,,,,1,,
UMP,,-1,,,,-1,-1,-1,,1,1,1,1,,-1,,1,,,,,1,,-1,,,-1,,,,,,,,,,-1,,,,,
UDP-galactose/UDP-glucose,,,1,,,,,,1,1,1,,,1,,,,1,-1,,,,,,,,,,,,,,,,,,-1,,,-1,,
Uracil,1,1,,,,1,,1,,,,,,,1,,,,,,-1,-1,,,,,1,,1,1,,1,,-1,,,,,,,,1
Urate,,1,,,1,1,,1,,,-1,-1,-1,,1,,-1,,,,,-1,,1,,,,1,,,,,,,,,,,,,,
Uridine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xanthine,1,1,,-1,,1,,1,1,-1,-1,-1,,,1,,-1,,,,,-1,,,,,1,,1,1,,1,,,,,,,,,,1
Taurocholate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,
Glycodeoxycholate/Glycochenodeoxycholate,,,,,,,,1,,,-1,,,,1,,-1,,,,,-1,,,,,1,,1,,,,,,,,1,,1,,,1
