,H3K4me0,H3K4me1,H3K4me2,H3K4ac1,H3K9me0K14ac0,H3K9me1K14ac0,H3K9me2K14ac0,H3K9me3K14ac0,H3K9ac1K14ac0,H3K9me0K14ac1,H3K9me1K14ac1,H3K9me2K14ac1,H3K9me3K14ac1,H3K9ac1K14ac1,H3K18ac0K23ac0,H3K18ac1K23ac0,H3K18ac0K23ac1,H3K18ac1K23ac1,H3K18ac0K23ub1,H3K27me0K36me0,H3K27me0K36me1,H3K27me0K36me2,H3K27me0K36me3,H3K27me1K36me0,H3K27me1K36me1,H3K27me1K36me2,H3K27me1K36me3,H3K27me2K36me0,H3K27me2K36me1,H3K27me2K36me2,H3K27me3K36me0,H3K27me3K36me1,H3K27ac1K36me0,H3K27ac1K36me1,H3K27ac1K36me2,H3K27ac1K36me3,H3.3K27me0K36me0,H3K56me0,H3K56me1,H3K79me0,H3K79me1,H3K79me2
2-aminoadipate,,,,,,,,,0.0391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3-phosphoglycerate,,,,,,,,0.0027,,,,,,,,,,,,,,,,,,,,,,,,,0.0465,0.0107,0.0061,,,,,,,
Alpha-glycerophosphate,,,0.0012,0.0002,,0.0437,,,,0.0077,0.0017,0.002,0.0127,,,,0.0003,0.0032,,,,0.0018,,,,,0.03,,,,,,,,,0.0132,0.0031,,0.0293,,0.0434,0.032
4-pyridoxate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aconitate,,0.0135,,,0.0153,,,0.0102,0.0016,,,,,0.0335,,,,,0.0075,,,,,,,,0.0484,,,,,,,,,,,,,,,
Adenine,,,,,0.0193,0.0076,,0.0172,0.0005,,,0.0456,,,0.034,,,,,,,0.0021,,,,,,,0.0042,,,,,,,,,,,,,0.0313
Adipate,,,,0.0342,,,,0.0372,,,,,,,,,,,0.016,0.0368,,,,,,,,,,0.0154,,,,,,,0.0007,,,,,
Alpha-ketoglutarate,,0.01,,,,,,,,,,,,,,0.0239,,,,,,,,,,0.0419,,,,,,,,0.0415,0.0064,,,,,,,0.0352
AMP,,0.0289,,,,0.0006,0.0008,0.0,,0.0006,0.0002,0.0011,0.0121,,0.0,,0.0001,,,0.035,,0.0222,,0.0043,,,0.0012,0.0409,,,,,,,,,0.0,,,,0.0415,0.0082
Citrate,,,,,,,,,0.0173,,,,,0.029,,,,,0.0175,,,,,,,,0.0177,,0.0078,,,,,,,,,,,,,
Isocitrate,,,,,0.039,,,0.0223,0.0149,,,,,0.0437,,0.0339,,0.043,0.013,,,,0.0427,,,0.0046,,,,,,,,,0.023,,,,,,,
